SMILES,PourPoint,FlashPoint
O=C(CCCCC)OCC(C)(C)COC(=O)CCCCC,-55,196
O=C(CCCCCC)OCC(C)(C)COC(=O)CCCCCC,-60,204
O=C(CCCCCCC)OCC(C)(C)COC(=O)CCCCCCC,-50,212
O=C(CCCCCCCC)OCC(C)(C)COC(=O)CCCCCCCC,-30,220
O=C(CCCCCCCCC)OCC(C)(C)COC(=O)CCCCCCCCC,-15,235
O=C(CCCCCCCCCCC)OCC(C)(C)COC(=O)CCCCCCCCCCC,11,245
O=C(OCC(C)(C)COC(=O)C(CC)CCCC)C(CC)CCCC,-65,197
O=C(CC(C)CC(C)(C)C)OCC(C)(C)COC(=O)CC(C)CC(C)(C)C,-30,200
CCCCCC(=O)OCC(CC)(COC(=O)CCCCC)COC(=O)CCCCC,-60,232
CCCCCCC(=O)OCC(CC)(COC(=O)CCCCCC)COC(=O)CCCCCC,-60,243
CCCCCCCC(=O)OCC(CC)(COC(=O)CCCCCCC)COC(=O)CCCCCCC,-55,248
CCCCCCCCC(=O)OCC(CC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,-35,256
CCCCCCCCCC(=O)OCC(CC)(COC(=O)CCCCCCCCC)COC(=O)CCCCCCCCC,-15,265
CCCCCCCCCCCC(=O)OCC(CC)(COC(=O)CCCCCCCCCCC)COC(=O)CCCCCCCCCCC,7,270
CCCCC(CC)C(=O)OCC(CC)(COC(=O)C(CC)CCCC)COC(=O)C(CC)CCCC,-55,234
CCC(COC(=O)CC(C)CC(C)(C)C)(COC(=O)CC(C)CC(C)(C)C)COC(=O)CC(C)CC(C)(C)C,-30,244
CCCCC(=O)OCC(COC(=O)CCCC)(COC(=O)CCCC)COC(=O)CCCC,-50,240
CCCCCC(=O)OCC(COC(=O)CCCCC)(COC(=O)CCCCC)COC(=O)CCCCC,-35,246
CCCCCCC(=O)OCC(COC(=O)CCCCCC)(COC(=O)CCCCCC)COC(=O)CCCCCC,-30,260
CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)(COC(=O)CCCCCCC)COC(=O)CCCCCCC,0,272
CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,5,284
CCCCC(CC)C(=O)OCC(COC(=O)C(CC)CCCC)(COC(=O)C(CC)CCCC)COC(=O)C(CC)CCCC,-5,258
CC(CC(=O)OCC(COC(=O)CC(C)CC(C)(C)C)(COC(=O)CC(C)CC(C)(C)C)COC(=O)CC(C)CC(C)(C)C)CC(C)(C)C,-35,275
CCCCC(=O)OCC(COCC(COC(=O)CCCC)(COC(=O)CCCC)COC(=O)CCCC)(COC(=O)CCCC)COC(=O)CCCC,-39,265
CCCCCC(=O)OCC(COCC(COC(=O)CCCCC)(COC(=O)CCCCC)COC(=O)CCCCC)(COC(=O)CCCCC)COC(=O)CCCCC,25,268
CCCCCCC(=O)OCC(COCC(COC(=O)CCCCCC)(COC(=O)CCCCCC)COC(=O)CCCCCC)(COC(=O)CCCCCC)COC(=O)CCCCCC,6,278
CCCCCCCC(=O)OCC(COCC(COC(=O)CCCCCCC)(COC(=O)CCCCCCC)COC(=O)CCCCCCC)(COC(=O)CCCCCCC)COC(=O)CCCCCCC,25,293
CCCCCCCCC(=O)OCC(COCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,25,298
CCCCC(CC)C(=O)OCC(COCC(COC(=O)C(CC)CCCC)(COC(=O)C(CC)CCCC)COC(=O)C(CC)CCCC)(COC(=O)C(CC)CCCC)COC(=O)C(CC)CCCC,-22,285
CC(CC(=O)OCC(COCC(COC(=O)CC(C)CC(C)(C)C)(COC(=O)CC(C)CC(C)(C)C)COC(=O)CC(C)CC(C)(C)C)(COC(=O)CC(C)CC(C)(C)C)COC(=O)CC(C)CC(C)(C)C)CC(C)(C)C,-10,295
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,-68,203
CC(C)CCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC(C)C,-62,226
CC(C)CCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCCC(C)C,-51,234
CCCCC(C)COC(=O)CCCCCCCC(=O)OCC(C)CCCC,-64,215
CC(C)CCCCCCCOC(=O)CCCCCCCC(=O)OCCCCCCCC(C)C,-65,230
CCCCC(C)COC(=O)CCCCCCCCC(=O)OCC(C)CCCC,-60,220
CC(C)CCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC(C)C,-60,230
CC(C)CCCCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCCCCC(C)C,-52,244
CCCCC(C)COC(=O)CCCCCCCCCCC(=O)OCC(C)CCCC,-57,225
CC(C)CCCCCCCOC(=O)CCCCCCCCCCC(=O)OCCCCCCCC(C)C,-41,240
CC(C)CCCCCCCCCCOC(=O)CCCCCCCCCCC(=O)OCCCCCCCCCCC(C)C,-50,250
CCCCCOC(=O)c1ccccc1C(=O)OCCCCC,-62,159
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-61,156
CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,-60,193
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,-49,179
CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCC,-44,189
CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCC,0,219
CC(C)CCOC(=O)c1ccccc1C(=O)OCCC(C)C,-50,185
CC(C)CCCOC(=O)c1ccccc1C(=O)OCCCC(C)C,-43,163
CCCCC(C)COC(=O)c1ccccc1C(=O)OCC(C)CCCC,-42,186
CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C,-44,192
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,-47,193
CC(C)CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCC(C)C,-43,221
CCCCCOC(=O)c1ccc(C(=O)OCCCCC)c(C(=O)OCCCCC)c1,-44,225
CCCCCCOC(=O)c1ccc(C(=O)OCCCCCC)c(C(=O)OCCCCCC)c1,-51,225
CCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCC)c(C(=O)OCCCCCCC)c1,-52,240
CCCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCCC)c(C(=O)OCCCCCCCC)c1,-43,256
CCCCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCCCC)c(C(=O)OCCCCCCCCC)c1,-30,263
CCCCCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCCCCC)c(C(=O)OCCCCCCCCCC)c1,-32,272
CC(C)CCOC(=O)c1ccc(C(=O)OCCC(C)C)c(C(=O)OCCC(C)C)c1,-42,220
CC(C)CCCOC(=O)c1ccc(C(=O)OCCCC(C)C)c(C(=O)OCCCC(C)C)c1,-31,231
CCCCC(C)COC(=O)c1ccc(C(=O)OCC(C)CCCC)c(C(=O)OCC(C)CCCC)c1,-36,270
CC(C)CCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCCC(C)C)c(C(=O)OCCCCCCCC(C)C)c1,-30,276
CC(C)CCCCCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCCCCCC(C)C)c(C(=O)OCCCCCCCCCCC(C)C)c1,-9,280
CCCCCOC(=O)c1cc(C(=O)OCCCCC)c(C(=O)OCCCCC)cc1C(=O)OCCCCC,111,247
CCCCCCOC(=O)c1cc(C(=O)OCCCCCC)c(C(=O)OCCCCCC)cc1C(=O)OCCCCCC,124,261
CCCCCCCOC(=O)c1cc(C(=O)OCCCCCCC)c(C(=O)OCCCCCCC)cc1C(=O)OCCCCCCC,124,263
CCCCCCCCOC(=O)c1cc(C(=O)OCCCCCCCC)c(C(=O)OCCCCCCCC)cc1C(=O)OCCCCCCCC,130,266
CCCCCCCCCOC(=O)c1cc(C(=O)OCCCCCCCCC)c(C(=O)OCCCCCCCCC)cc1C(=O)OCCCCCCCCC,130,270
CC(C)CCOC(=O)c1cc(C(=O)OCCC(C)C)c(C(=O)OCCC(C)C)cc1C(=O)OCCC(C)C,88,231
CC(C)CCCOC(=O)c1cc(C(=O)OCCCC(C)C)c(C(=O)OCCCC(C)C)cc1C(=O)OCCCC(C)C,81,232
CCCCC(C)COC(=O)c1cc(C(=O)OCC(C)CCCC)c(C(=O)OCC(C)CCCC)cc1C(=O)OCC(C)CCCC,93,270
CC(C)CCCCCCOC(=O)c1cc(C(=O)OCCCCCCC(C)C)c(C(=O)OCCCCCCC(C)C)cc1C(=O)OCCCCCCC(C)C,91,276
CCCCCC=CCCC(CCCCCCCC(=O)OCC(C)CCCC)C(CCCCCCCC)CCCCCCCCC(=O)OCC(C)CCCC,-50,290
CCCCCC=CCCC(CCCCCCCC(=O)OCCCCCCCCCCC(C)C)C(CCCCCCCC)CCCCCCCCC(=O)OCCCCCCCCCCC(C)C,-27,310
